order_id,product_name,category,quantity,unit_price,discount_percent,region,sale_date,customer_email,revenue
A1649,laptop,home appliance,0,14009.82,1.4,WEST,2023.01.18,,0.0
A1124,laptop,home appliance,2,34025.61,0.81,south,2023-04-21,,12929.73
A1690,Smartphone,home appliance,0,17840.87,1.14,Central,2023-04-15,a@example.com,0.0
A1277,Shoes,home appliance,0,43269.84,0.46,Central,07-05-2023,,0.0
A1932,Laptop,home appliance,5,25605.25,0.39,nort,2023/01/02,,78096.01
A1732,Smart Phone,HomeAppliance,abc,23319.01,0.63,South,28/04/2023,,0.0
A1934,WashingMachine,electronics,-1,8543.64,1.01,CENTRAL,2023.03.30,,0.0
A1365,WashingMachine,electronics,-1,38340.37,0.11,CENTRAL,09/02/2023,,0.0
A1464,shoess,home appliance,-1,46354.73,0.86,west,05/01/2023,,0.0
A1424,Laptop,home appliance,abc,23442.82,0.37,CENTRAL,,,0.0
A1000,Shoes,HomeAppliance,0,17473.31,0.6,Central,2023/05/24,a@example.com,0.0
A1449,Shoes,fashion,-1,28119.6,0.77,nort,20-04-2023,b@example.com,0.0
A1659,Smart Phone,HomeAppliance,-1,8237.97,0.55,Central,2023-01-18,,0.0
A1105,shoess,electronics,abc,34739.77,0.6,North,2023-03-26,,0.0
A1043,Smartphone,fashion,3,20617.22,0.11,south,12/02/2023,,55047.98
A1437,WashingMachine,home appliance,0,9302.09,1.34,west,2023-03-01,,0.0
A1102,shoess,fashion wear,-1,34250.46,0.06,Central,2023/01/03,b@example.com,0.0
A1081,shoess,fashion,-1,35419.79,0.27,North,2023-02-24,,0.0
A1514,WashingMachine,Electrnics,4,1757.02,1.2,west,2023/05/02,a@example.com,0.0
A1359,Smart Phone,electronics,abc,15420.62,1.15,Central,2023-06-23,,0.0
A1786,WashingMachine,Electrnics,abc,27145.77,1.31,Central,30-04-2023,,0.0
A1916,Shoes,Electrnics,0,19194.42,0.32,Central,2023-04-16,,0.0
A1941,Smart Phone,electronics,0,17846.81,0.57,CENTRAL,17/06/2023,,0.0
A1577,Shoes,Electrnics,0,48591.78,1.12,North,2023/02/11,,0.0
A1121,Smart Phone,home appliance,0,12262.13,1.32,WEST,2023-05-31,,0.0
A1742,WashingMachine,home appliance,0,4670.28,0.35,south,26-05-2023,a@example.com,0.0
A1665,WashingMachine,fashion,0,45926.09,1.15,west,2023/06/05,,0.0
A1578,Laptop,home appliance,3,4759.05,1.07,South,17/02/2023,b@example.com,0.0
A1307,shoess,fashion wear,abc,41951.14,0.89,Central,14-02-2023,,0.0
A1195,Laptop,fashion wear,-1,4499.88,1.17,west,2023-06-09,,0.0
A1654,Smartphone,fashion,0,23767.76,0.35,west,2023-04-27,,0.0
A1099,Smart Phone,fashion,abc,33433.56,1.05,nort,2023/04/18,,0.0
A1123,washing machine,Electrnics,-1,46344.46,1.29,south,09-05-2023,,0.0
A1596,Shoes,electronics,3,7063.04,1.48,North,2023-05-22,b@example.com,0.0
A1891,Shoes,fashion,0,12003.87,0.57,South,2023/02/12,a@example.com,0.0
A1529,washing machine,home appliance,2,21399.81,0.85,CENTRAL,2023-04-10,b@example.com,6419.94
A1185,washing machine,electronics,0,40413.54,1.32,North,02/01/2023,,0.0
A1829,WashingMachine,electronics,0,2964.85,0.06,WEST,21-Apr-2023,b@example.com,0.0
A1987,WashingMachine,HomeAppliance,abc,9918.49,1.16,Central,05-05-2023,a@example.com,0.0
A1424,shoess,electronics,abc,36639.26,1.38,Central,20/01/2023,b@example.com,0.0
A1462,Smart Phone,Electrnics,abc,21975.96,0.86,west,,a@example.com,0.0
A1502,Shoes,fashion wear,3,48835.71,0.96,North,10-01-2023,,5860.29
A1684,Laptop,home appliance,4,34639.76,1.29,North,31/01/2023,,0.0
A1007,Laptop,fashion,-1,7143.0,1.29,CENTRAL,17-Mar-2023,b@example.com,0.0
A1311,WashingMachine,HomeAppliance,5,28442.53,0.42,nort,2023/04/30,,82483.34
A1867,washing machine,HomeAppliance,-1,13287.5,1.35,south,2023.03.23,a@example.com,0.0
A1227,Shoes,fashion,0,13602.56,0.53,south,08/03/2023,,0.0
A1449,shoess,home appliance,-1,32012.49,0.17,CENTRAL,01-Apr-2023,,0.0
A1203,shoess,Electrnics,4,2017.67,1.11,South,20-Mar-2023,,0.0
A1079,laptop,Electrnics,0,3718.98,1.44,South,,,0.0
A1995,Laptop,Electrnics,3,48296.13,1.45,CENTRAL,01-01-2023,,0.0
A1245,shoess,fashion,-1,38171.0,1.28,North,,a@example.com,0.0
A1179,shoess,HomeAppliance,abc,10335.51,0.76,CENTRAL,26/04/2023,b@example.com,0.0
A1767,washing machine,electronics,-1,22295.32,1.33,WEST,2023-01-11,,0.0
A1610,Laptop,home appliance,abc,21840.37,1.35,Central,2023-03-09,,0.0
A1320,Shoes,Electrnics,-1,18397.15,0.18,CENTRAL,,,0.0
A1473,WashingMachine,home appliance,0,29754.27,1.13,west,2023/03/22,,0.0
A1095,Shoes,home appliance,abc,8607.68,1.29,nort,04-06-2023,,0.0
A1733,washing machine,fashion wear,abc,28985.49,0.25,WEST,12/02/2023,,0.0
A1050,washing machine,fashion wear,3,43437.09,1.42,WEST,,b@example.com,0.0
A1066,WashingMachine,fashion,0,17005.1,0.82,west,10/06/2023,,0.0
A1881,Laptop,electronics,5,10175.31,0.91,CENTRAL,16/04/2023,,4578.89
A1820,WashingMachine,electronics,abc,31373.45,1.11,South,21-06-2023,b@example.com,0.0
A1614,shoess,HomeAppliance,abc,14478.68,1.06,South,2023.02.28,,0.0
A1741,Smartphone,electronics,0,2580.93,1.25,nort,18-01-2023,a@example.com,0.0
A1751,Smartphone,fashion,1,38720.75,1.4,south,,b@example.com,0.0
A1672,Smart Phone,Electrnics,0,12179.26,0.7,nort,2023/01/03,b@example.com,0.0
A1301,WashingMachine,Electrnics,4,10717.79,1.37,nort,30-Mar-2023,,0.0
A1583,Laptop,fashion wear,abc,20028.58,1.49,nort,2023.01.03,b@example.com,0.0
A1511,Shoes,fashion wear,-1,25778.08,1.26,CENTRAL,2023.01.18,,0.0
A1746,laptop,electronics,-1,23448.22,1.18,nort,15-Jan-2023,,0.0
A1861,Shoes,home appliance,0,27648.92,0.48,Central,2023-01-16,,0.0
A1150,Smartphone,Electrnics,-1,42494.4,0.46,south,03-Jan-2023,,0.0
A1881,WashingMachine,fashion wear,5,45844.0,0.08,west,2023.02.05,b@example.com,210882.4
A1843,Laptop,fashion wear,-1,24062.95,0.93,west,2023-04-05,,0.0
A1644,Smartphone,fashion wear,2,24231.42,0.1,South,08/04/2023,,43616.56
A1082,washing machine,fashion wear,-1,19945.2,0.63,South,07/05/2023,b@example.com,0.0
A1908,shoess,fashion,1,37178.6,0.44,WEST,01-05-2023,a@example.com,20820.02
A1372,shoess,electronics,abc,30519.83,0.25,nort,26-Jun-2023,,0.0
A1917,shoess,fashion wear,-1,48195.62,0.81,west,14-02-2023,b@example.com,0.0
A1265,shoess,electronics,0,23176.21,0.98,south,2023/04/14,b@example.com,0.0
A1679,Smart Phone,electronics,-1,31822.74,0.8,CENTRAL,2023/03/04,,0.0
A1173,Smartphone,electronics,5,46957.12,1.04,nort,2023-02-01,,0.0
A1851,shoess,electronics,-1,34987.83,0.92,North,2023/01/27,b@example.com,0.0
A1082,Smartphone,HomeAppliance,abc,6902.93,1.08,south,2023-05-09,a@example.com,0.0
A1694,Smart Phone,HomeAppliance,5,39683.3,1.34,nort,2023.01.21,b@example.com,0.0
A1539,shoess,HomeAppliance,-1,46832.29,0.3,nort,12/04/2023,,0.0
A1483,washing machine,fashion,abc,31451.51,0.27,nort,2023.03.11,,0.0
A1054,Shoes,Electrnics,0,42972.6,0.68,west,,,0.0
A1099,washing machine,electronics,0,23292.25,1.43,South,2023.03.02,,0.0
A1081,Shoes,Electrnics,abc,27274.3,0.15,WEST,2023-02-13,,0.0
A1511,Shoes,fashion wear,4,40288.79,0.49,Central,2023.04.16,a@example.com,82189.13
A1607,Smart Phone,fashion,-1,2181.37,0.16,south,2023-01-27,,0.0
A1062,Smart Phone,HomeAppliance,4,36652.21,0.19,WEST,2023/01/20,,118753.16
A1686,washing machine,fashion wear,abc,11626.83,0.56,nort,2023-05-01,,0.0
A1853,WashingMachine,electronics,-1,19713.54,0.27,nort,2023.05.09,b@example.com,0.0
A1299,WashingMachine,electronics,0,3503.05,0.79,North,23/02/2023,b@example.com,0.0
A1276,Smart Phone,electronics,-1,4353.55,0.68,south,06/04/2023,a@example.com,0.0
A1200,Shoes,Electrnics,-1,14255.14,1.09,Central,2023/01/15,a@example.com,0.0
A1055,Shoes,fashion,abc,22668.81,0.25,nort,04-04-2023,,0.0
A1192,shoess,electronics,0,5167.57,1.07,west,07-Jan-2023,a@example.com,0.0
A1777,shoess,Electrnics,-1,13648.94,0.18,west,02-01-2023,a@example.com,0.0
A1933,washing machine,Electrnics,0,17415.91,1.47,nort,2023/01/01,,0.0
A1357,washing machine,electronics,-1,12315.04,0.14,WEST,10-May-2023,b@example.com,0.0
A1969,Smartphone,electronics,abc,33103.28,0.99,nort,21/01/2023,b@example.com,0.0
A1760,laptop,fashion wear,abc,19292.62,0.92,South,2023.06.20,,0.0
A1474,Smart Phone,HomeAppliance,0,10194.95,1.1,south,,a@example.com,0.0
A1783,Laptop,Electrnics,abc,13688.53,1.35,south,2023.05.30,a@example.com,0.0
A1658,Smartphone,home appliance,5,33272.84,1.47,North,2023-05-19,,0.0
A1855,washing machine,fashion wear,-1,41616.57,0.77,nort,26-Feb-2023,,0.0
A1565,shoess,Electrnics,1,12177.73,1.29,west,2023.05.20,a@example.com,0.0
A1722,Smartphone,HomeAppliance,-1,16799.0,1.02,Central,2023-05-04,,0.0
A1843,shoess,electronics,0,38824.28,0.67,South,20/06/2023,,0.0
A1443,shoess,electronics,-1,19698.2,0.01,North,2023.04.13,a@example.com,0.0
A1571,Shoes,home appliance,0,34315.3,1.23,WEST,24/05/2023,a@example.com,0.0
A1330,Smart Phone,home appliance,0,23001.8,0.86,south,2023/02/08,b@example.com,0.0
A1513,shoess,home appliance,-1,23850.52,0.96,South,2023.01.04,,0.0
A1300,laptop,home appliance,0,5557.02,0.9,Central,,,0.0
A1890,WashingMachine,fashion,abc,27800.2,0.83,CENTRAL,26-Jun-2023,,0.0
A1222,laptop,HomeAppliance,5,8454.01,0.14,west,26-Mar-2023,a@example.com,36352.24
A1246,shoess,electronics,abc,33864.98,0.65,Central,05-May-2023,,0.0
A1011,Shoes,electronics,4,12585.3,0.23,nort,,,38762.72
A1876,shoess,electronics,4,18464.53,1.47,nort,2023-04-25,,0.0
A1396,Shoes,Electrnics,-1,40652.76,0.42,South,2023.05.10,,0.0
A1322,Shoes,Electrnics,1,27014.85,1.16,Central,17/01/2023,,0.0
A1047,laptop,electronics,1,45571.98,1.17,CENTRAL,23-Jun-2023,,0.0
A1375,laptop,electronics,abc,39486.67,1.41,south,2023-01-07,,0.0
A1716,shoess,Electrnics,abc,21233.82,0.51,CENTRAL,2023/05/29,a@example.com,0.0
A1784,shoess,Electrnics,abc,33369.24,0.61,South,2023.05.31,,0.0
A1631,Smartphone,electronics,0,10441.05,1.32,west,08-Feb-2023,a@example.com,0.0
A1194,Smart Phone,fashion,5,41951.16,0.07,North,21-04-2023,,195072.89
A1245,Shoes,Electrnics,abc,33101.62,1.08,west,27/05/2023,,0.0
A1685,laptop,electronics,0,49867.42,0.1,Central,2023.04.01,a@example.com,0.0
A1427,Smartphone,electronics,0,42298.21,0.26,North,2023/03/20,,0.0
A1177,Smart Phone,fashion wear,abc,13491.29,0.08,CENTRAL,2023.05.13,,0.0
A1677,Shoes,fashion,-1,16546.76,0.45,CENTRAL,2023/02/22,,0.0
A1751,Smart Phone,fashion wear,abc,32885.42,1.43,Central,04/06/2023,b@example.com,0.0
A1765,laptop,electronics,abc,25686.77,1.15,south,2023-05-22,,0.0
A1338,Shoes,fashion wear,abc,5528.66,1.15,CENTRAL,19/01/2023,a@example.com,0.0
A1207,washing machine,fashion wear,4,38990.02,1.11,WEST,2023-05-27,b@example.com,0.0
A1023,Shoes,fashion wear,-1,10569.26,1.16,CENTRAL,05-Feb-2023,,0.0
A1387,laptop,HomeAppliance,0,39691.83,1.08,nort,2023-03-31,,0.0
A1434,washing machine,electronics,-1,44155.14,1.43,nort,21-05-2023,a@example.com,0.0
A1417,washing machine,electronics,-1,14546.43,0.69,west,07/01/2023,,0.0
A1375,WashingMachine,fashion wear,abc,33618.38,1.46,west,24-01-2023,,0.0
A1083,Laptop,electronics,abc,49183.43,0.95,WEST,2023.04.24,,0.0
A1614,Shoes,fashion,0,1788.55,0.98,South,2023.01.30,b@example.com,0.0
A1680,shoess,fashion wear,-1,39711.95,1.07,south,2023.03.11,,0.0
A1119,Laptop,electronics,0,11355.56,0.87,west,2023/02/24,,0.0
A1553,Shoes,fashion wear,-1,38191.89,0.71,south,27-Jun-2023,,0.0
A1309,Shoes,fashion,abc,28509.21,0.9,North,,,0.0
A1461,Laptop,electronics,0,32166.2,0.3,nort,18-03-2023,,0.0
A1680,Shoes,Electrnics,0,28312.05,0.66,south,05/02/2023,a@example.com,0.0
A1881,washing machine,home appliance,1,3354.77,1.45,south,2023-05-13,,0.0
A1803,laptop,fashion,3,47453.73,1.11,west,,a@example.com,0.0
A1271,laptop,Electrnics,0,46712.25,0.63,west,2023.02.21,,0.0
A1259,Smart Phone,fashion wear,0,37649.75,1.08,North,2023-04-25,a@example.com,0.0
A1363,Shoes,Electrnics,abc,25069.06,0.4,WEST,08-05-2023,a@example.com,0.0
A1895,WashingMachine,fashion,2,31510.56,0.61,south,2023/03/08,b@example.com,24578.24
A1063,Smartphone,home appliance,0,28505.39,1.49,Central,2023/04/27,,0.0
A1650,Smartphone,fashion wear,abc,27447.94,0.42,west,2023.02.06,,0.0
A1733,shoess,home appliance,0,21669.46,0.05,CENTRAL,20/04/2023,b@example.com,0.0
A1534,Smartphone,home appliance,abc,46361.1,0.09,CENTRAL,20/06/2023,a@example.com,0.0
A1742,shoess,fashion,-1,21354.0,1.28,south,2023-01-18,,0.0
A1957,Smart Phone,electronics,-1,16107.46,0.84,South,16/06/2023,b@example.com,0.0
A1756,laptop,fashion wear,-1,48150.17,1.1,WEST,22-05-2023,,0.0
A1575,washing machine,fashion wear,4,28952.08,0.23,nort,2023/04/27,,89172.41
A1147,shoess,fashion wear,0,17660.57,0.2,west,2023/04/27,b@example.com,0.0
A1530,WashingMachine,HomeAppliance,-1,13316.36,1.0,west,2023/03/18,,0.0
A1866,laptop,Electrnics,4,39163.18,1.13,CENTRAL,11-Mar-2023,a@example.com,0.0
A1200,washing machine,fashion,abc,32231.02,1.45,North,,,0.0
A1790,Smartphone,fashion,2,28997.22,1.17,South,2023-02-23,,0.0
A1920,Smart Phone,fashion,3,6838.99,1.3,south,08/02/2023,,0.0
A1272,WashingMachine,fashion wear,abc,35698.42,0.67,North,,b@example.com,0.0
A1551,Shoes,electronics,-1,34836.19,0.25,Central,2023/05/02,b@example.com,0.0
A1620,Shoes,electronics,abc,18409.4,1.45,North,2023.06.17,,0.0
A1872,WashingMachine,Electrnics,4,9405.93,0.4,nort,16-Jun-2023,b@example.com,22574.23
A1515,shoess,fashion,0,37918.65,0.37,west,2023/01/03,,0.0
A1146,Smart Phone,fashion wear,abc,38335.63,1.4,south,2023.01.19,,0.0
A1822,Laptop,home appliance,-1,31492.43,0.67,west,02-Mar-2023,,0.0
A1145,washing machine,fashion wear,0,47412.03,1.48,west,2023.01.07,,0.0
A1509,shoess,home appliance,abc,44426.59,0.61,south,2023.03.28,,0.0
A1471,shoess,HomeAppliance,4,36164.92,1.19,south,,a@example.com,0.0
A1503,Laptop,HomeAppliance,4,35732.84,1.45,nort,06-Feb-2023,a@example.com,0.0
A1592,Shoes,Electrnics,5,34749.67,1.42,Central,,b@example.com,0.0
A1767,Shoes,home appliance,abc,26107.44,1.04,south,2023.06.17,,0.0
A1075,washing machine,home appliance,0,22283.65,0.7,nort,2023.03.12,a@example.com,0.0
A1319,Shoes,home appliance,-1,26445.81,0.97,south,,a@example.com,0.0
A1517,Smartphone,home appliance,0,25203.32,0.59,WEST,2023/06/18,,0.0
A1181,Smart Phone,fashion,0,3541.63,0.38,South,10-06-2023,,0.0
A1509,Laptop,HomeAppliance,0,42815.55,0.64,west,24-Jan-2023,,0.0
A1138,Shoes,Electrnics,-1,45136.71,1.1,south,16/06/2023,,0.0
A1395,Smartphone,home appliance,abc,26530.29,0.45,WEST,2023.04.05,,0.0
A1256,Laptop,fashion wear,0,30804.44,0.56,nort,2023/01/24,,0.0
A1646,Smartphone,HomeAppliance,5,7987.48,0.01,Central,19/03/2023,,39538.03
A1726,Smart Phone,fashion wear,abc,42036.56,0.51,WEST,2023.03.20,,0.0
A1039,shoess,Electrnics,abc,13456.98,1.14,South,21-06-2023,,0.0
A1697,Smart Phone,HomeAppliance,0,7753.14,0.12,WEST,07-06-2023,a@example.com,0.0
A1359,Smartphone,Electrnics,-1,27580.9,0.49,South,2023/06/19,,0.0
A1075,WashingMachine,Electrnics,abc,40298.4,0.29,Central,25-Jun-2023,b@example.com,0.0
A1876,shoess,electronics,abc,38114.36,1.12,west,26/05/2023,b@example.com,0.0
A1783,laptop,home appliance,-1,43510.7,0.61,Central,01/01/2023,,0.0
A1987,Shoes,Electrnics,-1,33038.07,0.93,Central,2023.06.21,,0.0
A1611,laptop,electronics,0,20995.53,1.13,south,2023/01/27,a@example.com,0.0
A1015,Smartphone,home appliance,-1,1754.11,0.77,CENTRAL,,b@example.com,0.0
A1533,Smart Phone,fashion wear,abc,1743.2,0.3,CENTRAL,2023/01/01,,0.0
A1227,WashingMachine,home appliance,-1,28292.47,0.8,South,2023.02.16,a@example.com,0.0
A1302,Smart Phone,HomeAppliance,0,17924.75,0.98,west,2023/02/13,,0.0
A1104,Laptop,fashion wear,2,15369.14,0.36,west,24-06-2023,,19672.5
A1900,WashingMachine,Electrnics,0,30156.02,0.31,CENTRAL,17-May-2023,a@example.com,0.0
A1335,Smart Phone,home appliance,-1,12075.62,1.08,North,2023.06.15,,0.0
A1234,shoess,fashion wear,0,26427.54,1.03,WEST,2023/01/29,b@example.com,0.0
A1332,laptop,electronics,0,39099.75,0.75,North,10/05/2023,,0.0
A1494,washing machine,home appliance,1,27902.02,0.52,WEST,23/03/2023,b@example.com,13392.97
A1111,laptop,home appliance,5,27266.29,0.46,south,2023.05.19,b@example.com,73618.98
A1480,shoess,home appliance,1,29693.53,0.13,south,,a@example.com,25833.37
A1031,laptop,HomeAppliance,0,17851.17,0.62,south,22-05-2023,a@example.com,0.0
A1700,Shoes,fashion,4,25842.97,0.26,south,,,76495.19
A1334,washing machine,fashion wear,0,31285.57,0.08,WEST,04-Apr-2023,,0.0
A1954,WashingMachine,fashion wear,abc,5779.19,0.76,west,22-06-2023,b@example.com,0.0
A1197,shoess,HomeAppliance,0,48168.4,0.91,WEST,24-Feb-2023,,0.0
A1251,laptop,home appliance,-1,18858.62,0.81,South,2023/05/06,,0.0
A1262,WashingMachine,electronics,abc,31775.53,0.82,west,23-02-2023,,0.0
A1743,shoess,Electrnics,5,48742.19,1.34,west,2023-01-18,,0.0
A1571,Shoes,HomeAppliance,-1,46215.78,0.95,CENTRAL,10-01-2023,,0.0
A1454,WashingMachine,fashion wear,1,49935.1,1.01,south,2023-05-10,,0.0
A1890,Laptop,HomeAppliance,abc,42331.88,1.03,South,2023-04-03,b@example.com,0.0
A1485,WashingMachine,home appliance,abc,46546.23,0.08,North,14/04/2023,,0.0
A1711,Laptop,home appliance,abc,48988.03,1.06,west,17/06/2023,,0.0
A1839,Smart Phone,fashion wear,abc,43705.0,0.61,south,18-03-2023,,0.0
A1668,Smartphone,Electrnics,-1,46266.26,1.33,west,2023/02/20,,0.0
A1395,laptop,fashion wear,abc,8212.08,0.03,nort,14-Feb-2023,,0.0
A1850,washing machine,fashion,abc,34761.88,0.55,CENTRAL,2023/01/10,,0.0
A1028,laptop,home appliance,5,24184.86,0.84,nort,,,19347.89
A1162,washing machine,Electrnics,5,14237.32,0.87,west,2023-01-28,,9254.26
A1490,laptop,Electrnics,4,45326.21,0.67,nort,02/05/2023,,59830.6
A1125,Laptop,fashion wear,1,39534.96,0.91,south,28-May-2023,,3558.15
A1481,shoess,fashion,abc,45602.08,0.26,WEST,17/02/2023,a@example.com,0.0
A1140,Laptop,fashion,abc,12365.52,1.02,nort,2023-01-24,a@example.com,0.0
A1043,washing machine,fashion,0,13357.64,1.29,south,11/04/2023,,0.0
A1716,WashingMachine,HomeAppliance,0,28162.02,1.05,WEST,16/05/2023,,0.0
A1226,shoess,fashion wear,1,25196.12,1.01,Central,2023.05.09,b@example.com,0.0
A1545,Smart Phone,HomeAppliance,0,45778.9,0.19,WEST,01/01/2023,,0.0
A1803,WashingMachine,home appliance,4,24561.41,0.12,nort,06-Feb-2023,,86456.16
A1595,Laptop,fashion wear,5,22500.55,1.49,Central,2023-05-15,,0.0
A1502,Shoes,fashion,0,5612.14,1.27,west,31-05-2023,a@example.com,0.0
A1196,WashingMachine,home appliance,abc,49683.67,0.66,CENTRAL,2023.06.06,a@example.com,0.0
A1931,shoess,HomeAppliance,5,35936.55,1.39,Central,2023.04.06,,0.0
A1663,Shoes,fashion,abc,25853.85,0.75,North,09-01-2023,,0.0
A1761,shoess,home appliance,0,33737.73,0.16,WEST,19/05/2023,,0.0
A1426,Laptop,home appliance,abc,3995.15,0.18,South,27/05/2023,,0.0
A1301,Smart Phone,home appliance,5,23321.1,0.52,south,,a@example.com,55970.64
A1732,Smart Phone,Electrnics,0,16772.27,0.69,Central,2023-05-23,,0.0
A1085,washing machine,fashion wear,2,10333.79,0.82,North,2023-02-07,b@example.com,3720.16
A1848,Smart Phone,Electrnics,5,21896.13,0.65,west,2023.04.22,,38318.23
A1606,Smartphone,fashion,abc,9900.99,0.76,South,16-Apr-2023,,0.0
A1282,Laptop,home appliance,abc,32209.4,0.65,CENTRAL,,a@example.com,0.0
A1890,WashingMachine,fashion,abc,13548.33,0.08,CENTRAL,2023.06.29,,0.0
A1296,Smart Phone,home appliance,-1,36142.0,1.29,WEST,25-Mar-2023,,0.0
A1842,shoess,home appliance,4,23833.25,0.83,CENTRAL,,,16206.61
A1428,Smartphone,Electrnics,abc,37343.21,0.65,Central,15-May-2023,,0.0
A1389,WashingMachine,fashion wear,-1,6705.23,1.21,nort,,,0.0
A1769,Laptop,electronics,0,17770.11,0.0,North,2023.03.08,,0.0
A1264,washing machine,home appliance,0,1176.48,0.9,south,13-01-2023,a@example.com,0.0
A1788,Smartphone,HomeAppliance,4,22069.47,0.18,South,,,72387.86
A1615,Smart Phone,home appliance,-1,32087.26,1.39,North,22-Feb-2023,,0.0
A1928,Smart Phone,fashion wear,-1,2257.45,1.29,CENTRAL,2023/06/23,,0.0
A1975,Laptop,fashion wear,-1,30830.89,0.05,South,27-Jun-2023,,0.0
A1497,shoess,HomeAppliance,1,17172.2,0.8,WEST,23-Mar-2023,,3434.44
A1420,shoess,electronics,0,21218.49,0.45,CENTRAL,,,0.0
A1307,Smart Phone,electronics,abc,33271.66,1.4,WEST,2023.05.26,,0.0
A1929,WashingMachine,Electrnics,0,41375.92,0.95,Central,2023-06-29,a@example.com,0.0
A1214,Smart Phone,HomeAppliance,0,20424.31,1.07,Central,28-Jan-2023,b@example.com,0.0
A1176,Smartphone,fashion wear,-1,4253.39,1.01,Central,2023-01-30,,0.0
A1105,Smartphone,Electrnics,abc,8448.91,0.25,south,2023/06/08,,0.0
A1593,WashingMachine,Electrnics,0,18295.59,0.88,west,2023/06/26,,0.0
A1454,Shoes,fashion wear,4,37597.57,0.17,WEST,2023/02/22,a@example.com,124823.93
A1622,WashingMachine,electronics,3,24921.23,0.77,Central,2023-05-25,,17195.65
A1403,WashingMachine,fashion wear,-1,13977.05,0.84,Central,2023.02.22,,0.0
A1705,Smartphone,HomeAppliance,2,1943.87,1.24,CENTRAL,2023-06-01,,0.0
A1780,laptop,fashion,2,8375.06,0.31,south,2023-01-21,a@example.com,11557.58
A1174,WashingMachine,fashion wear,-1,4011.46,0.98,Central,2023.02.05,,0.0
A1511,Shoes,HomeAppliance,0,12869.84,1.19,CENTRAL,2023-01-21,,0.0
A1229,WashingMachine,fashion,0,25757.2,1.29,Central,2023/06/01,,0.0
A1252,Shoes,home appliance,-1,22774.44,0.72,WEST,2023/01/09,,0.0
A1237,laptop,home appliance,1,8377.52,0.71,west,2023.06.13,a@example.com,2429.48
A1695,Smart Phone,HomeAppliance,-1,17443.4,1.06,CENTRAL,2023/04/10,b@example.com,0.0
A1215,washing machine,home appliance,4,45659.33,0.03,west,06/02/2023,a@example.com,177158.2
A1300,laptop,home appliance,5,21194.46,1.46,west,2023/02/03,b@example.com,0.0
A1339,WashingMachine,fashion,abc,32683.06,0.0,south,30-04-2023,b@example.com,0.0
A1633,Smart Phone,fashion wear,abc,29700.31,0.48,Central,09/02/2023,a@example.com,0.0
A1244,washing machine,electronics,abc,18405.81,0.13,Central,14-May-2023,a@example.com,0.0
A1476,Laptop,fashion wear,0,24966.37,1.1,WEST,19/05/2023,,0.0
A1175,WashingMachine,HomeAppliance,2,31594.09,0.54,South,2023/03/06,,29066.56
A1190,WashingMachine,fashion wear,-1,5253.83,1.44,South,2023-06-08,a@example.com,0.0
A1000,Shoes,HomeAppliance,1,10216.87,0.83,nort,21/02/2023,,1736.87
A1355,shoess,Electrnics,5,1342.87,0.4,nort,2023-03-21,,4028.61
A1776,washing machine,fashion,-1,11182.48,1.4,south,,,0.0
A1255,shoess,HomeAppliance,0,21562.2,1.1,nort,28/06/2023,,0.0
A1334,Smart Phone,Electrnics,-1,17568.57,1.12,North,2023-02-16,,0.0
